STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SCENARIO,Scenario,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2016,,0.375383333333334,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2017,,0.583283333333333,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2018,,0.686158333333334,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2019,,0.0629333333333333,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2020,,-0.22485,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2021,,-0.0853833333333335,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2022,,1.71115,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2023,,3.082675,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2024,,2.84270833333334,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2025,,2.87515754329004,,,,PA,Percent per annum,0,Units,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_LTB@DF_EO_LTB(1.0),OECD Economic Outlook 117 long-term scenarios,I,AUT,Austria,IRL,Long-term interest rate on government bonds,ET3,"Accelerated energy transition, high climate damage curve, slow reduction in carbon mitigation costs",A,Annual,2026,,2.9278545021645,,,,PA,Percent per annum,0,Units,2,Two
