STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2010,,245949,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2011,,245289,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2012,,245037,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2013,,243935,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2014,,242808,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2015,,243052,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2016,,245106,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2017,,249577,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2018,,256824,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,SWE,Sweden,POP,Population,PS,Persons,_T,Total,Y80T84,From 80 to 84 years,H,Historical,2019,,267289,,A,Normal value,0,Units,0,Zero
